plate	dilution	strain	ct	primer
A01	1	wt	6.23	MoBacTag_BC
B01	0.1	wt	9.12	MoBacTag_BC
C01	0.01	wt	13.09	MoBacTag_BC
D01	0.001	wt	17.3	MoBacTag_BC
A02	1	wt	5.85	MoBacTag_BC
B02	0.1	wt	9.04	MoBacTag_BC
C02	0.01	wt	13.09	MoBacTag_BC
D02	0.001	wt	16.46	MoBacTag_BC
A03	1	wt	5.11	MoBacTag_BC
B03	0.1	wt	8.96	MoBacTag_BC
C03	0.01	wt	13.04	MoBacTag_BC
D03	0.001	wt	16.3	MoBacTag_BC
A04	1	cyoB	24.11	MoBacTag_BC
B04	0.1	cyoB	26.82	MoBacTag_BC
C04	0.01	cyoB	27.01	MoBacTag_BC
D04	0.001	cyoB	27.68	MoBacTag_BC
A05	1	cyoB	24.05	MoBacTag_BC
B05	0.1	cyoB	26.09	MoBacTag_BC
C05	0.01	cyoB	26.98	MoBacTag_BC
D05	0.001	cyoB	26.74	MoBacTag_BC
A06	1	cyoB	24.28	MoBacTag_BC
B06	0.1	cyoB	26.79	MoBacTag_BC
C06	0.01	cyoB	26.53	MoBacTag_BC
D06	0.001	cyoB	26.32	MoBacTag_BC
A07	1	pqqF	6.7	MoBacTag_BC
B07	0.1	pqqF	9.94	MoBacTag_BC
C07	0.01	pqqF	14	MoBacTag_BC
D07	0.001	pqqF	17.19	MoBacTag_BC
A08	1	pqqF	6.78	MoBacTag_BC
B08	0.1	pqqF	10.24	MoBacTag_BC
C08	0.01	pqqF	14.01	MoBacTag_BC
D08	0.001	pqqF	17.33	MoBacTag_BC
A09	1	pqqF	6.78	MoBacTag_BC
B09	0.1	pqqF	9.93	MoBacTag_BC
C09	0.01	pqqF	13.99	MoBacTag_BC
D09	0.001	pqqF	17.17	MoBacTag_BC
E01	1	wt	6.23	WCS358_qPCR_1_BC
F01	0.1	wt	10.01	WCS358_qPCR_1_BC
G01	0.01	wt	14.09	WCS358_qPCR_1_BC
H01	0.001	wt	18.2	WCS358_qPCR_1_BC
E02	1	wt	6.57	WCS358_qPCR_1_BC
F02	0.1	wt	9.49	WCS358_qPCR_1_BC
G02	0.01	wt	13.76	WCS358_qPCR_1_BC
H02	0.001	wt	17.42	WCS358_qPCR_1_BC
E03	1	wt	6.21	WCS358_qPCR_1_BC
F03	0.1	wt	9.65	WCS358_qPCR_1_BC
G03	0.01	wt	13.52	WCS358_qPCR_1_BC
H03	0.001	wt	17.34	WCS358_qPCR_1_BC
E04	1	cyoB	6.49	WCS358_qPCR_1_BC
F04	0.1	cyoB	10.05	WCS358_qPCR_1_BC
G04	0.01	cyoB	14.29	WCS358_qPCR_1_BC
H04	0.001	cyoB	17.93	WCS358_qPCR_1_BC
E05	1	cyoB	6.48	WCS358_qPCR_1_BC
F05	0.1	cyoB	10.16	WCS358_qPCR_1_BC
G05	0.01	cyoB	14.31	WCS358_qPCR_1_BC
