SampleID	strain	compartment	soil	bio_replicate	tech_replicate
GH4_repA_001	R13DBC_R13CBC	Rhizosphere	Cas	A	1
GH4_repA_002	R13DBC_R13CBC	Root	Cas	A	1
GH4_repA_003	R13DBC_R13CBC	Rhizosphere	Cas	A	2
GH4_repA_004	R13DBC_R13CBC	Root	Cas	A	2
GH4_repA_005	R13DBC_R13CBC	Rhizosphere	Cas	A	3
GH4_repA_006	R13DBC_R13CBC	Root	Cas	A	3
GH4_repA_007	R13DBC_R13CBC	Rhizosphere	Cas	A	4
GH4_repA_008	R13DBC_R13CBC	Root	Cas	A	4
GH4_repA_009	R13DBC_R13CBC	Rhizosphere	Cas	A	5
GH4_repA_010	R13DBC_R13CBC	Root	Cas	A	5
GH4_repA_011	R13DBC_R13CBC	Rhizosphere	Cas	A	6
GH4_repA_012	R13DBC_R13CBC	Root	Cas	A	6
GH4_repA_013	R13DBC_R13CBC	Rhizosphere	Cas	A	7
GH4_repA_014	R13DBC_R13CBC	Root	Cas	A	7
GH4_repA_015	R13DBC_R13CBC	Rhizosphere	Cas	A	8
GH4_repA_016	R13DBC_R13CBC	Root	Cas	A	8
GH4_repA_017	R13DBC_R13CBC	Soil	Cas	A	1
GH4_repA_018	R13DBC_R13CBC	Soil	Cas	A	2
GH4_repA_019	R13DBC_R13CBC	Soil	Cas	A	3
GH4_repA_020	R13DBC_R13CBC	Soil	Cas	A	4
GH4_repA_021	R13DBC_R13CBC	Soil	Cas	A	5
GH4_repA_022	R13DBC_R13CBC	Soil	Cas	A	6
GH4_repA_023	R13DBC_R13CBC	Soil	Cas	A	7
GH4_repA_024	R13DBC_R13CBC	Soil	Cas	A	8
GH4_repA_025	R13Dmut300_R13CBC	Rhizosphere	Cas	A	1
GH4_repA_026	R13Dmut300_R13CBC	Root	Cas	A	1
GH4_repA_027	R13Dmut300_R13CBC	Rhizosphere	Cas	A	2
GH4_repA_028	R13Dmut300_R13CBC	Root	Cas	A	2
GH4_repA_029	R13Dmut300_R13CBC	Rhizosphere	Cas	A	3
GH4_repA_030	R13Dmut300_R13CBC	Root	Cas	A	3
GH4_repA_031	R13Dmut300_R13CBC	Rhizosphere	Cas	A	4
GH4_repA_032	R13Dmut300_R13CBC	Root	Cas	A	4
GH4_repA_033	R13Dmut300_R13CBC	Rhizosphere	Cas	A	5
GH4_repA_034	R13Dmut300_R13CBC	Root	Cas	A	5
GH4_repA_035	R13Dmut300_R13CBC	Rhizosphere	Cas	A	6
GH4_repA_036	R13Dmut300_R13CBC	Root	Cas	A	6
GH4_repA_037	R13Dmut300_R13CBC	Rhizosphere	Cas	A	7
GH4_repA_038	R13Dmut300_R13CBC	Root	Cas	A	7
GH4_repA_039	R13Dmut300_R13CBC	Rhizosphere	Cas	A	8
GH4_repA_040	R13Dmut300_R13CBC	Root	Cas	A	8
GH4_repA_041	R13Dmut300_R13CBC	Soil	Cas	A	1
GH4_repA_042	R13Dmut300_R13CBC	Soil	Cas	A	2
GH4_repA_043	R13Dmut300_R13CBC	Soil	Cas	A	3
GH4_repA_044	R13Dmut300_R13CBC	Soil	Cas	A	4
GH4_repA_045	R13Dmut300_R13CBC	Soil	Cas	A	5
GH4_repA_046	R13Dmut300_R13CBC	Soil	Cas	A	6
GH4_repA_047	R13Dmut300_R13CBC	Soil	Cas	A	7
GH4_repA_048	R13Dmut300_R13CBC	Soil	Cas	A	8
GH4_repA_049	R13DBC_R13Cmut300	Rhizosphere	Cas	A	1
GH4_repA_050	R13DBC_R13Cmut300	Root	Cas	A	1
GH4_repA_051	R13DBC_R13Cmut300	Rhizosphere	Cas	A	2
GH4_repA_052	R13DBC_R13Cmut300	Root	Cas	A	2
