Time [h]	Time [s]	medium	glucose	PQQ	strain	OD_1	OD_2	OD_3	OD_mean	OD_se
0	0	XVM2_succinate	none	none	wt	0.119800001	0.127900004	0.1219	0.123200002	0.001401191
0.166666667	600	XVM2_succinate	none	none	wt	0.1285	0.129800007	0.124899998	0.127733335	0.000846125
0.333333333	1200	XVM2_succinate	none	none	wt	0.119900003	0.123899996	0.124300003	0.122700001	0.000811034
0.5	1800	XVM2_succinate	none	none	wt	0.119999997	0.120800003	0.1193	0.120033334	0.000250186
0.666666667	2400	XVM2_succinate	none	none	wt	0.116899997	0.120099999	0.118000001	0.118333332	0.000541945
0.833333333	3000	XVM2_succinate	none	none	wt	0.1175	0.118299998	0.119199999	0.118333332	0.000283497
1	3600	XVM2_succinate	none	none	wt	0.116999999	0.119900003	0.1184	0.118433334	0.00048343
1.166666667	4200	XVM2_succinate	none	none	wt	0.117799997	0.118900001	0.119400002	0.1187	0.000272846
1.333333333	4800	XVM2_succinate	none	none	wt	0.117399998	0.119099997	0.118600003	0.118366666	0.00029123
1.5	5400	XVM2_succinate	none	none	wt	0.119499996	0.120200001	0.117899999	0.119199999	0.000392994
1.666666667	6000	XVM2_succinate	none	none	wt	0.118799999	0.1206	0.120399997	0.119933332	0.000328859
1.833333333	6600	XVM2_succinate	none	none	wt	0.118100002	0.120499998	0.119900003	0.119500001	0.000416333
2	7200	XVM2_succinate	none	none	wt	0.119999997	0.123599999	0.120499998	0.121366665	0.000650071
2.166666667	7800	XVM2_succinate	none	none	wt	0.119900003	0.123300001	0.1215	0.121566668	0.000566993
2.333333333	8400	XVM2_succinate	none	none	wt	0.1219	0.121299997	0.120099999	0.121099999	0.000305505
2.5	9000	XVM2_succinate	none	none	wt	0.119900003	0.1228	0.122000001	0.121566668	0.000499258
2.666666667	9600	XVM2_succinate	none	none	wt	0.119999997	0.123000003	0.122000001	0.121666667	0.000509176
2.833333333	10200	XVM2_succinate	none	none	wt	0.122199997	0.123599999	0.122000001	0.122599999	0.000290593
3	10800	XVM2_succinate	none	none	wt	0.122400001	0.125	0.123300001	0.123566667	0.000440118
3.166666667	11400	XVM2_succinate	none	none	wt	0.123800002	0.124399997	0.124700002	0.124300001	0.000152752
3.333333333	12000	XVM2_succinate	none	none	wt	0.123899996	0.128000006	0.127200007	0.12636667	0.000724443
3.499972222	12599.9	XVM2_succinate	none	none	wt	0.126300007	0.126699999	0.125599995	0.1262	0.000185593
3.666666667	13200	XVM2_succinate	none	none	wt	0.125599995	0.126599997	0.127100006	0.126433333	0.000254589
3.833305556	13799.9	XVM2_succinate	none	none	wt	0.127399996	0.129999995	0.128800005	0.128733332	0.00043376
3.999972222	14399.9	XVM2_succinate	none	none	wt	0.128999993	0.132200003	0.128299996	0.129833331	0.000693089
4.166638889	14999.9	XVM2_succinate	none	none	wt	0.133900002	0.133499995	0.134499997	0.133966664	0.000167774
4.333305556	15599.9	XVM2_succinate	none	none	wt	0.133499995	0.137600005	0.136399999	0.135833333	0.000702642
4.499972222	16199.9	XVM2_succinate	none	none	wt	0.136899993	0.1373	0.136000007	0.136733333	0.000221943
4.666638889	16799.9	XVM2_succinate	none	none	wt	0.138600007	0.139899999	0.136800006	0.138433337	0.000518901
4.833305556	17399.9	XVM2_succinate	none	none	wt	0.1426	0.141800001	0.141900003	0.142100001	0.000145296
4.999972222	17999.9	XVM2_succinate	none	none	wt	0.147599995	0.149800003	0.147100002	0.148166666	0.000478811
5.166638889	18599.9	XVM2_succinate	none	none	wt	0.154300004	0.155599996	0.152600005	0.154166669	0.000501478
5.333305556	19199.9	XVM2_succinate	none	none	wt	0.157000005	0.158600003	0.157499999	0.157700002	0.000272845
5.499972222	19799.9	XVM2_succinate	none	none	wt	0.1611	0.162499994	0.160799995	0.161466663	0.000302459
5.666638889	20399.9	XVM2_succinate	none	none	wt	0.164299995	0.168300003	0.165900007	0.166166668	0.000671098
5.833305556	20999.9	XVM2_succinate	none	none	wt	0.165800005	0.170300007	0.170200005	0.168766672	0.000856565
5.999972222	21599.9	XVM2_succinate	none	none	wt	0.168599993	0.171200007	0.170399994	0.170066665	0.000443891
6.166638889	22199.9	XVM2_succinate	none	none	wt	0.171299994	0.172199994	0.171499997	0.171666662	0.000157527
6.333305556	22799.9	XVM2_succinate	none	none	wt	0.173899993	0.174099997	0.172299996	0.173433329	0.000328859
6.499972222	23399.9	XVM2_succinate	none	none	wt	0.1734	0.177599996	0.177300006	0.176100001	0.000781025
6.666638889	23999.9	XVM2_succinate	none	none	wt	0.175699994	0.178299993	0.178299993	0.177433327	0.00050037
6.833305556	24599.9	XVM2_succinate	none	none	wt	0.177399993	0.177000001	0.177399993	0.177266662	7.70E-05
6.999972222	25199.9	XVM2_succinate	none	none	wt	0.177200004	0.177200004	0.177399993	0.177266667	3.85E-05
7.166638889	25799.9	XVM2_succinate	none	none	wt	0.178100005	0.178800002	0.179100007	0.178666671	0.000171054
7.333305556	26399.9	XVM2_succinate	none	none	wt	0.176699996	0.178299993	0.178900003	0.177966664	0.000379084
7.499972222	26999.9	XVM2_succinate	none	none	wt	0.175899997	0.177399993	0.177200004	0.176833332	0.000271484
7.666638889	27599.9	XVM2_succinate	none	none	wt	0.173299998	0.172800004	0.172499999	0.172866667	0.000134715
7.833305556	28199.9	XVM2_succinate	none	none	wt	0.170900002	0.171000004	0.169300005	0.170400004	0.000317979
7.999972222	28799.9	XVM2_succinate	none	none	wt	0.169400007	0.171599999	0.171800002	0.170933336	0.000443887
8.166638889	29399.9	XVM2_succinate	none	none	wt	0.169799998	0.171499997	0.172000006	0.171100001	0.00038442
8.333277778	29999.8	XVM2_succinate	none	none	wt	0.170499995	0.1708	0.170599997	0.170633331	5.09E-05
8.499972222	30599.9	XVM2_succinate	none	none	wt	0.171800002	0.172000006	0.170300007	0.171366672	0.000309719
8.666611111	31199.8	XVM2_succinate	none	none	wt	0.173500001	0.172299996	0.171499997	0.172433332	0.000335549
8.833277778	31799.8	XVM2_succinate	none	none	wt	0.172999993	0.175300002	0.174700007	0.174333334	0.00039768
8.999944444	32399.8	XVM2_succinate	none	none	wt	0.174400002	0.176799998	0.176599994	0.175933331	0.000443887
9.166611111	32999.8	XVM2_succinate	none	none	wt	0.175999999	0.178200006	0.177000001	0.177066669	0.000367173
9.333277778	33599.8	XVM2_succinate	none	none	wt	0.1796	0.180299997	0.178499997	0.179466665	0.000302459
9.499944444	34199.8	XVM2_succinate	none	none	wt	0.179399997	0.183200002	0.181700006	0.181433335	0.000637995
9.666611111	34799.8	XVM2_succinate	none	none	wt	0.182699993	0.185800001	0.185299993	0.184599996	0.000554778
9.833277778	35399.8	XVM2_succinate	none	none	wt	0.185900003	0.188700005	0.187199995	0.187266668	0.000467064
9.999944444	35999.8	XVM2_succinate	none	none	wt	0.188999996	0.189500004	0.187700003	0.188733334	0.000309719
10.16661111	36599.8	XVM2_succinate	none	none	wt	0.192399994	0.192200005	0.190200001	0.1916	0.000405517
10.33327778	37199.8	XVM2_succinate	none	none	wt	0.192599997	0.195099995	0.194700003	0.194133331	0.000447628
10.49994444	37799.8	XVM2_succinate	none	none	wt	0.195999995	0.197600007	0.197099999	0.1969	0.000272847
10.66661111	38399.8	XVM2_succinate	none	none	wt	0.198599994	0.198899999	0.196899995	0.19813333	0.000359527
10.83327778	38999.8	XVM2_succinate	none	none	wt	0.202299997	0.200299993	0.199000001	0.20053333	0.000554109
10.99994444	39599.8	XVM2_succinate	none	none	wt	0.202099994	0.203500003	0.202999994	0.202866664	0.000236488
11.16661111	40199.8	XVM2_succinate	none	none	wt	0.2042	0.205300003	0.204999998	0.204833334	0.000189542
11.33327778	40799.8	XVM2_succinate	none	none	wt	0.205899999	0.206400007	0.205300003	0.20586667	0.000183586
11.49994444	41399.8	XVM2_succinate	none	none	wt	0.209299996	0.209000006	0.206400007	0.208233337	0.000531593
11.66661111	41999.8	XVM2_succinate	none	none	wt	0.209399998	0.210899994	0.210099995	0.210133329	0.000250184
11.83327778	42599.8	XVM2_succinate	none	none	wt	0.210999995	0.213699996	0.212400004	0.212366665	0.000450103
11.99994444	43199.8	XVM2_succinate	none	none	wt	0.213799998	0.215800002	0.214100003	0.214566668	0.000359527
12.16661111	43799.8	XVM2_succinate	none	none	wt	0.216600001	0.216600001	0.214200005	0.215800002	0.000461879
12.33327778	44399.8	XVM2_succinate	none	none	wt	0.217999995	0.218999997	0.217600003	0.218199998	0.000240369
12.49994444	44999.8	XVM2_succinate	none	none	wt	0.217999995	0.220899999	0.219600007	0.2195	0.000484195
12.66661111	45599.8	XVM2_succinate	none	none	wt	0.219500005	0.2227	0.220699996	0.220966667	0.00053886
12.83327778	46199.8	XVM2_succinate	none	none	wt	0.223199993	0.224399999	0.221599996	0.223066663	0.000468252
12.99994444	46799.8	XVM2_succinate	none	none	wt	0.226999998	0.227899998	0.224900007	0.226600001	0.000513159
13.16661111	47399.8	XVM2_succinate	none	none	wt	0.224800006	0.229399994	0.2271	0.2271	0.000766665
13.33327778	47999.8	XVM2_succinate	none	none	wt	0.227300003	0.231399998	0.229699999	0.229466667	0.000686644
13.49994444	48599.8	XVM2_succinate	none	none	wt	0.230800003	0.232800007	0.229699999	0.231100003	0.000523876
13.66658333	49199.7	XVM2_succinate	none	none	wt	0.234300002	0.235400006	0.231399998	0.233700002	0.000688801
13.83325	49799.7	XVM2_succinate	none	none	wt	0.232999995	0.237499997	0.235300004	0.235266666	0.000750062
13.99991667	50399.7	XVM2_succinate	none	none	wt	0.234999999	0.238900006	0.237599999	0.237166668	0.000661929
14.16658333	50999.7	XVM2_succinate	none	none	wt	0.2377	0.240400001	0.2377	0.238600001	0.000519615
14.33325	51599.7	XVM2_succinate	none	none	wt	0.241099998	0.242300004	0.239500001	0.240966668	0.000468252
14.49991667	52199.7	XVM2_succinate	none	none	wt	0.240500003	0.245199993	0.243200004	0.242966667	0.000786222
14.66658333	52799.7	XVM2_succinate	none	none	wt	0.242300004	0.246600002	0.2447	0.244533335	0.00071828
14.83325	53399.7	XVM2_succinate	none	none	wt	0.244100004	0.248199999	0.2456	0.245966668	0.000691482
14.99991667	53999.7	XVM2_succinate	none	none	wt	0.248099998	0.249699995	0.246199995	0.247999996	0.000584047
15.16658333	54599.7	XVM2_succinate	none	none	wt	0.247299999	0.251700014	0.249500006	0.249500006	0.000733336
15.33325	55199.7	XVM2_succinate	none	none	wt	0.248999998	0.253399998	0.251899987	0.251433328	0.000745604
15.49991667	55799.7	XVM2_succinate	none	none	wt	0.251300007	0.255800009	0.253100008	0.253400008	0.000754984
15.66658333	56399.7	XVM2_succinate	none	none	wt	0.254999995	0.256700009	0.253399998	0.255033334	0.000550086
15.83325	56999.7	XVM2_succinate	none	none	wt	0.254799992	0.258700013	0.256500006	0.25666667	0.000651782
15.99991667	57599.7	XVM2_succinate	none	none	wt	0.255499989	0.26030001	0.258100003	0.257966667	0.000800929
16.16658333	58199.7	XVM2_succinate	none	none	wt	0.256900012	0.261299998	0.259299994	0.259166668	0.00073434
16.33325	58799.7	XVM2_succinate	none	none	wt	0.260899991	0.263099998	0.259499997	0.261166662	0.000604919
16.49991667	59399.7	XVM2_succinate	none	none	wt	0.266099989	0.266900003	0.261400014	0.264800002	0.000990507
16.66658333	59999.7	XVM2_succinate	none	none	wt	0.261999995	0.266099989	0.263999999	0.264033328	0.0006834
16.83325	60599.7	XVM2_succinate	none	none	wt	0.263099998	0.267100006	0.265599996	0.265266667	0.000673576
16.99991667	61199.7	XVM2_succinate	none	none	wt	0.265399992	0.2685	0.265899986	0.266599993	0.000554779
17.16658333	61799.7	XVM2_succinate	none	none	wt	0.26910001	0.270000011	0.266499996	0.268533339	0.000605839
