sample_ID	Endo16S	BC	genotype
BC001	0,145464305	0,231347289	wt
BC002	0,149901381	0,288954635	wt
BC003	0,133562954	0,227324914	wt
BC004	0,092229039	0,135787321	wt
BC039	1,018348624	5,100917431	wt
BC046	0,148148148	0,177777778	wt
BC047	0,047619048	0,051587302	wt
BC048	0,220149254	0,324626866	wt
BC049	0,139954853	0,171557562	wt
BC074	2,142857143	10,28571429	wt
BC091	0,064543645	0,07108331	wt
BC092	0,049772284	0,054977228	wt
BC093	0,080203443	0,131064163	wt
BC094	0,160194175	0,203597944	wt
BC119	2,906666667	8,04	wt
BC129	1,037974684	3,949367089	wt
BC159	4,604026846	20,2147651	wt
BC165	7,25	24,25	wt
BC171	7,661971831	25,09859155	wt
BC009	0,031893004	0,017489712	cyoB
BC010	0,033469388	0,007346939	cyoB
BC011	0,140032949	0,051345415	cyoB
BC012	0,026838966	0,013419483	cyoB
BC041	0,660377358	1,669811321	cyoB
BC054	0,06640625	0,03125	cyoB
BC055	0,044217687	0,034013605	cyoB
BC056	0,061176471	0,007058824	cyoB
BC057	0,024336283	0	cyoB
BC099	0,034410845	0,008602711	cyoB
BC100	0,018527096	0,007410838	cyoB
BC101	0,033379694	0,013908206	cyoB
BC102	0,040540541	0,017488076	cyoB
BC131	0,578947368	0,640350877	cyoB
BC161	4,753846154	15,69230769	cyoB
BC173	12,125	19,5	cyoB
BC005	0,070772059	0,044577206	pqqF
BC006	0,089712919	0,051834131	pqqF
BC007	0,041988003	0,025135676	pqqF
BC008	0,176111111	0,131111111	pqqF
BC030	4,299270073	10,21167883	pqqF
BC040	0,455197133	0,491039427	pqqF
BC050	0,012298959	0,003784295	pqqF
BC051	0,022075055	0	pqqF
BC052	0,02892562	0,01446281	pqqF
BC053	0,080547112	0,028115502	pqqF
BC075	3	6,857142857	pqqF
BC095	0,100962446	0,047178713	pqqF
BC096	0,02111757	0,010677423	pqqF
BC097	0,009034144	0,007971303	pqqF
BC098	0,031539031	0,01600074	pqqF
BC120	6,816666667	11,18333333	pqqF
BC130	0,517241379	0,521551724	pqqF
BC160	4,516949153	11,62711864	pqqF
BC166	0,625	1,625	pqqF
BC172	12,2195122	22,68292683	pqqF
