position	ID	frequency	frequency_percent
p1	1F	7	3.723404255
p2	1F	7	3.825136612
p3	1F	13	8.280254777
p4	1F	13	9.558823529
p5	1F	0	0
p1	1R	4	2.127659574
p2	1R	13	7.103825137
p3	1R	12	7.643312102
p4	1R	7	5.147058824
p5	1R	2	5.882352941
p1	2F	6	3.191489362
p2	2F	6	3.278688525
p3	2F	14	8.917197452
p4	2F	11	8.088235294
p5	2F	2	5.882352941
p1	2R	13	6.914893617
p2	2R	19	10.38251366
p3	2R	15	9.554140127
p4	2R	3	2.205882353
p5	2R	2	5.882352941
p1	3F	8	4.255319149
p2	3F	4	2.18579235
p3	3F	8	5.095541401
p4	3F	5	3.676470588
p5	3F	0	0
p1	3R	7	3.723404255
p2	3R	8	4.371584699
p3	3R	3	1.910828025
p4	3R	9	6.617647059
p5	3R	1	2.941176471
p1	4F	15	7.978723404
p2	4F	12	6.557377049
p3	4F	7	4.458598726
p4	4F	4	2.941176471
p5	4F	1	2.941176471
p1	4R	15	7.978723404
p2	4R	6	3.278688525
p3	4R	4	2.547770701
p4	4R	2	1.470588235
p5	4R	4	11.76470588
p1	5F	6	3.191489362
p2	5F	7	3.825136612
p3	5F	8	5.095541401
p4	5F	9	6.617647059
p5	5F	8	23.52941176
p1	5R	5	2.659574468
p2	5R	5	2.732240437
p3	5R	3	1.910828025
p4	5R	5	3.676470588
p5	5R	0	0
p1	6F	12	6.382978723
p2	6F	14	7.650273224
p3	6F	9	5.732484076
p4	6F	7	5.147058824
p5	6F	5	14.70588235
p1	6R	12	6.382978723
p2	6R	10	5.464480874
p3	6R	6	3.821656051
p4	6R	5	3.676470588
p5	6R	2	5.882352941
p1	7F	10	5.319148936
p2	7F	12	6.557377049
p3	7F	10	6.369426752
p4	7F	3	2.205882353
p5	7F	0	0
p1	7R	6	3.191489362
p2	7R	8	4.371584699
p3	7R	5	3.184713376
p4	7R	7	5.147058824
p5	7R	2	5.882352941
p1	8F	14	7.446808511
p2	8F	13	7.103825137
p3	8F	3	1.910828025
p4	8F	10	7.352941176
p5	8F	0	0
p1	8R	5	2.659574468
p2	8R	7	3.825136612
p3	8R	5	3.184713376
p4	8R	10	7.352941176
p5	8R	2	5.882352941
p1	9F	11	5.85106383
p2	9F	12	6.557377049
p3	9F	13	8.280254777
p4	9F	5	3.676470588
p5	9F	1	2.941176471
p1	9R	14	7.446808511
p2	9R	11	6.010928962
p3	9R	7	4.458598726
p4	9R	8	5.882352941
p5	9R	0	0
p1	10F	11	5.85106383
p2	10F	2	1.092896175
p3	10F	7	4.458598726
p4	10F	8	5.882352941
p5	10F	2	5.882352941
p1	10R	6	3.191489362
p2	10R	6	3.278688525
p3	10R	5	3.184713376
p4	10R	5	3.676470588
p5	10R	0	0
